step,mean_reward,mean_sinr_db,mean_Te2E,avg_Tloc,avg_Ttx,avg_TQ,avg_Tcpu
175,1.930754,13.4814,3.406780e-01,5.333333e-04,3.391000e-01,1.000200e-03,4.444444e-05
176,0.962626,1.8043,1.097699e-01,2.666667e-04,1.094810e-01,0.000000e+00,2.222222e-05
177,2.222547,16.2084,3.338111e-01,1.333333e-04,3.333333e-01,3.333556e-04,1.111111e-05
178,2.262031,16.5006,3.338111e-01,1.333333e-04,3.333333e-01,3.333556e-04,1.111111e-05
179,1.194297,2.9777,4.257966e-02,1.333333e-04,4.210186e-02,3.333556e-04,1.111111e-05
180,1.411384,7.1325,1.686796e-01,4.000000e-04,1.665790e-01,1.667222e-03,3.333333e-05
181,2.262244,14.0126,3.372426e-01,4.000000e-04,3.361425e-01,6.667556e-04,3.333333e-05
182,0.973103,4.0723,1.916859e-01,5.333333e-04,1.897744e-01,1.333689e-03,4.444444e-05
183,2.178114,9.0254,1.117106e-01,6.666667e-04,1.089876e-01,2.000800e-03,5.555556e-05
184,1.549262,9.5402,5.248586e-01,4.000000e-04,5.240919e-01,3.333556e-04,3.333333e-05
185,0.762085,0.8982,8.631641e-02,5.333333e-04,8.373783e-02,2.000800e-03,4.444444e-05
186,1.130325,2.5577,6.675816e-02,5.333333e-04,6.484669e-02,1.333689e-03,4.444444e-05
187,1.525325,8.4872,2.849361e-01,4.000000e-04,2.841694e-01,3.333556e-04,3.333333e-05
188,1.595466,4.8724,7.675485e-03,1.333333e-04,7.197685e-03,3.333556e-04,1.111111e-05
189,1.094488,4.3130,3.473101e-01,5.333333e-04,3.453987e-01,1.333689e-03,4.444444e-05
190,2.006478,7.7190,2.297605e-02,4.000000e-04,2.154251e-02,1.000200e-03,3.333333e-05
191,2.063233,7.3238,1.728051e-02,1.333333e-04,1.680271e-02,3.333556e-04,1.111111e-05
192,1.161466,4.9350,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
193,2.798033,10.9281,9.557641e-03,2.666667e-04,8.601996e-03,6.667556e-04,2.222222e-05
194,3.282260,13.2338,8.252153e-03,1.333333e-04,7.774353e-03,3.333556e-04,1.111111e-05
195,1.392866,7.7758,3.436225e-01,4.000000e-04,3.418554e-01,1.333689e-03,3.333333e-05
196,0.682019,0.3711,9.309509e-02,5.333333e-04,9.118363e-02,1.333689e-03,4.444444e-05
197,2.208823,9.9183,1.174240e-02,2.666667e-04,1.112016e-02,3.333556e-04,2.222222e-05
198,2.299741,13.2099,3.372394e-01,2.666667e-04,3.362838e-01,6.667556e-04,2.222222e-05
199,2.059670,14.2567,4.541771e-01,4.000000e-04,4.527436e-01,1.000200e-03,3.333333e-05
200,1.256401,4.7030,1.797975e-02,1.333333e-04,1.750195e-02,3.333556e-04,1.111111e-05
201,2.089238,13.0386,1.512712e-01,4.000000e-04,1.498377e-01,1.000200e-03,3.333333e-05
202,2.929090,19.6167,3.558363e-01,5.333333e-04,3.539248e-01,1.333689e-03,4.444444e-05
203,1.759669,6.1320,3.307094e-02,5.333333e-04,3.115947e-02,1.333689e-03,4.444444e-05
204,2.030529,9.4325,3.433791e-01,2.666667e-04,3.424234e-01,6.667556e-04,2.222222e-05
205,1.039716,3.4811,2.570728e-01,4.000000e-04,2.553058e-01,1.333689e-03,3.333333e-05
206,1.532795,5.4961,1.254452e-01,6.666667e-04,1.233893e-01,1.333689e-03,5.555556e-05
207,1.509217,7.5533,3.454670e-01,8.000000e-04,3.415985e-01,3.001801e-03,6.666667e-05
208,1.436220,7.3268,2.080565e-01,6.666667e-04,2.066675e-01,6.667556e-04,5.555556e-05
209,4.257410,19.0156,6.257523e-03,2.666667e-04,5.301878e-03,6.667556e-04,2.222222e-05
210,1.634779,4.8587,4.583804e-02,5.333333e-04,4.292584e-02,2.334423e-03,4.444444e-05
211,1.277716,6.6693,4.497088e-01,5.333333e-04,4.484643e-01,6.667556e-04,4.444444e-05
212,0.999444,2.3746,1.078481e-01,4.000000e-04,1.067480e-01,6.667556e-04,3.333333e-05
213,0.840405,2.4747,1.771478e-01,1.333333e-04,1.766700e-01,3.333556e-04,1.111111e-05
214,2.501558,8.5104,3.747702e-02,6.666667e-04,3.475400e-02,2.000800e-03,5.555556e-05
215,3.177172,12.7131,8.499334e-02,8.000000e-04,8.212587e-02,2.000800e-03,6.666667e-05
216,1.489147,6.5957,1.032590e-01,6.666667e-04,1.005359e-01,2.000800e-03,5.555556e-05
217,1.077428,3.1889,4.911525e-02,5.333333e-04,4.753727e-02,1.000200e-03,4.444444e-05
218,2.032711,12.7095,3.955932e-01,8.000000e-04,3.930593e-01,1.667222e-03,6.666667e-05
219,2.871734,16.6155,1.056183e-02,1.333333e-04,1.008403e-02,3.333556e-04,1.111111e-05
220,1.292073,3.3938,2.786158e-02,2.666667e-04,2.690594e-02,6.667556e-04,2.222222e-05
221,1.505256,9.4055,3.434072e-01,5.333333e-04,3.408286e-01,2.000800e-03,4.444444e-05
222,0.750888,0.6201,2.393023e-02,2.666667e-04,2.297458e-02,6.667556e-04,2.222222e-05
223,1.530005,9.3207,4.192574e-01,5.333333e-04,4.180128e-01,6.667556e-04,4.444444e-05
224,2.458894,7.8751,1.441279e-02,2.666667e-04,1.345715e-02,6.667556e-04,2.222222e-05
225,1.890925,7.2686,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
226,1.818179,6.2389,3.704757e-02,2.666667e-04,3.609193e-02,6.667556e-04,2.222222e-05
227,1.791706,8.8752,8.939909e-03,2.666667e-04,7.984264e-03,6.667556e-04,2.222222e-05
228,1.922734,7.3549,3.479586e-01,5.333333e-04,3.460471e-01,1.333689e-03,4.444444e-05
229,1.531403,6.1786,9.404263e-02,6.666667e-04,9.165318e-02,1.667222e-03,5.555556e-05
230,2.405150,8.3329,1.614152e-02,2.666667e-04,1.518588e-02,6.667556e-04,2.222222e-05
231,2.064095,11.8981,3.668160e-03,1.333333e-04,3.190360e-03,3.333556e-04,1.111111e-05
232,1.138941,5.1855,3.456458e-01,4.000000e-04,3.442123e-01,1.000200e-03,3.333333e-05
233,1.873767,7.3767,3.468833e-01,4.000000e-04,3.454497e-01,1.000200e-03,3.333333e-05
234,1.464576,9.2801,6.681002e-01,4.000000e-04,6.666667e-01,1.000200e-03,3.333333e-05
